"date","close","volume","open","high","low"
"16:00","144.77","19,891,354","143.25","144.89","143.17"
"2017/04/04","144.7700","19865300.0000","143.2500","144.8900","143.1700"
"2017/04/03","143.7000","19970040.0000","143.7100","144.1200","143.0500"
"2017/03/31","143.6600","19576480.0000","143.7200","144.2700","143.0100"
"2017/03/30","143.9300","21189000.0000","144.1900","144.5000","143.5000"
"2017/03/29","144.1200","29174040.0000","143.6800","144.4900","143.1900"
"2017/03/28","143.8000","33348400.0000","140.9100","144.0400","140.6200"
"2017/03/27","140.8800","23531670.0000","139.3900","141.2200","138.6200"
"2017/03/24","140.6400","22355140.0000","141.5000","141.7400","140.3500"
"2017/03/23","140.9200","20299310.0000","141.2600","141.5844","140.6100"
"2017/03/22","141.4200","25804820.0000","139.8450","141.6000","139.7600"
"2017/03/21","139.8400","39461130.0000","142.1100","142.8000","139.7300"
"2017/03/20","141.4600","21258100.0000","140.4000","141.5000","140.2300"
"2017/03/17","139.9900","43700570.0000","141.0000","141.0000","139.8900"
"2017/03/16","140.6900","19173780.0000","140.7200","141.0200","140.2600"
"2017/03/15","140.4600","25676720.0000","139.4100","140.7501","139.0250"
"2017/03/14","138.9900","15281850.0000","139.3000","139.6500","138.8400"
"2017/03/13","139.2000","17048800.0000","138.8500","139.4300","138.8200"
"2017/03/10","139.1400","19578920.0000","139.2500","139.3571","138.6400"
"2017/03/09","138.6800","22117750.0000","138.7400","138.7900","137.0500"
"2017/03/08","139.0000","18695500.0000","138.9500","139.8000","138.8200"
"2017/03/07","139.5200","17439210.0000","139.0600","139.9800","138.7900"
"2017/03/06","139.3400","21229890.0000","139.3650","139.7700","138.5959"
"2017/03/03","139.7800","21555370.0000","138.7800","139.8300","138.5900"
"2017/03/02","138.9600","26170690.0000","140.0000","140.2786","138.7600"
"2017/03/01","139.7900","36362440.0000","137.8900","140.1500","137.5950"
"2017/02/28","136.9900","23446340.0000","137.0800","137.4350","136.7000"
"2017/02/27","136.9300","20222210.0000","137.1400","137.4350","136.2800"
"2017/02/24","136.6600","21754600.0000","135.9100","136.6600","135.2800"
"2017/02/23","136.5300","20762360.0000","137.3800","137.4800","136.3000"
"2017/02/22","137.1100","20769030.0000","136.4300","137.1200","136.1100"
"2017/02/21","136.7000","24487200.0000","136.2300","136.7500","135.9800"
"2017/02/17","135.7200","22163280.0000","135.1000","135.8300","135.1000"
"2017/02/16","135.3450","22539860.0000","135.6700","135.9000","134.8398"
"2017/02/15","135.5100","35578640.0000","135.5200","136.2700","134.6200"
"2017/02/14","135.0200","33054500.0000","133.4700","135.0900","133.2500"
"2017/02/13","133.2900","22989980.0000","133.0800","133.8200","132.7500"
"2017/02/10","132.1200","20046250.0000","132.4600","132.9400","132.0500"
"2017/02/09","132.4200","28321440.0000","131.6500","132.4450","131.1200"
"2017/02/08","132.0400","22941650.0000","131.3500","132.2200","131.2200"
"2017/02/07","131.5300","38158410.0000","130.5400","132.0900","130.4500"
"2017/02/06","130.2900","26784530.0000","129.1300","130.5000","128.9000"
"2017/02/03","129.0800","24460160.0000","128.3100","129.1900","128.1600"
"2017/02/02","128.5300","33671250.0000","127.9750","129.3900","127.7800"
"2017/02/01","128.7500","111837300.0000","127.0300","130.4900","127.0100"
"2017/01/31","121.3500","47767760.0000","121.1500","121.3900","120.6200"
"2017/01/30","121.6300","30327110.0000","120.9300","121.6300","120.6600"
"2017/01/27","121.9500","20495340.0000","122.1400","122.3500","121.6000"
"2017/01/26","121.9400","26320740.0000","121.6700","122.4400","121.6000"
"2017/01/25","121.8800","32417410.0000","120.4200","122.1000","120.2800"
"2017/01/24","119.9700","23191150.0000","119.5500","120.1000","119.5000"
"2017/01/23","120.0800","21982000.0000","120.0000","120.8100","119.7700"
"2017/01/20","120.0000","29922650.0000","120.4500","120.4500","119.7346"
